ID	States_number	Prod_of_ZEB1	Prod_of_miR200	Prod_of_PDL1	Prod_of_CDH1	Prod_of_SLUG	Deg_of_ZEB1	Deg_of_miR200	Deg_of_PDL1	Deg_of_CDH1	Deg_of_SLUG	Trd_of_miR200ToZEB1	Num_of_miR200ToZEB1	Inh_of_miR200ToZEB1	Trd_of_ZEB1ToZEB1	Num_of_ZEB1ToZEB1	Act_of_ZEB1ToZEB1	Trd_of_CDH1ToZEB1	Num_of_CDH1ToZEB1	Inh_of_CDH1ToZEB1	Trd_of_SLUGToZEB1	Num_of_SLUGToZEB1	Act_of_SLUGToZEB1	Trd_of_ZEB1TomiR200	Num_of_ZEB1TomiR200	Inh_of_ZEB1TomiR200	Trd_of_SLUGTomiR200	Num_of_SLUGTomiR200	Inh_of_SLUGTomiR200	Trd_of_miR200ToPDL1	Num_of_miR200ToPDL1	Inh_of_miR200ToPDL1	Trd_of_PDL1ToCDH1	Num_of_PDL1ToCDH1	Inh_of_PDL1ToCDH1	Trd_of_ZEB1ToCDH1	Num_of_ZEB1ToCDH1	Inh_of_ZEB1ToCDH1	Trd_of_SLUGToCDH1	Num_of_SLUGToCDH1	Inh_of_SLUGToCDH1	Trd_of_miR200ToSLUG	Num_of_miR200ToSLUG	Inh_of_miR200ToSLUG	Trd_of_SLUGToSLUG	Num_of_SLUGToSLUG	Act_of_SLUGToSLUG
176	3	54.222357	8.160209	60.946872	67.704325	68.592508	0.951619	0.517434	0.899178	0.812728	0.347626	3.716687	6	0.012601	1.559617	5	43.985186	1.210495	3	0.01725	18.298351	1	74.110693	0.384883	3	0.012576	7.057561	2	0.016769	1.170284	1	0.031738	10.961325	5	0.595923	0.206668	6	0.015312	0.723339	5	0.024509	0.645469	6	0.060635	4.06216	2	54.943207
177	3	96.747811	62.468603	58.570172	40.427523	37.488823	0.272377	0.275735	0.378726	0.38315	0.79693	4.917273	4	0.029761	0.309287	4	99.168621	0.570392	1	0.019171	16.321314	6	47.838195	0.292228	6	0.011696	15.338476	4	0.010102999999999999	4.019822	3	0.013232	37.559364	6	0.016288	0.198342	6	0.010489	1.038563	5	0.044119	5.94343	3	0.0113	14.122541	3	24.577901
180	3	5.002649	32.718304	75.109435	38.12322	11.246832	0.854603	0.910991	0.928852	0.653252	0.343529	4.223911	3	0.046663	0.763088	5	66.954162	1.010131	3	0.023217	8.992141	2	14.547592	0.475815	2	0.01042	5.950548	5	0.01006	2.117329	2	0.038623	42.644671	1	0.017128	1.495098	4	0.014703	11.313759	2	0.017602	7.342069	2	0.043151	13.515525	6	90.714097
183	3	17.343916	41.373442	43.222533	96.230617	30.004512	0.69545	0.821698	0.502052	0.117304	0.880069	6.367877	2	0.015392	0.780393	3	68.566931	3.48109	5	0.011087	5.091453	1	66.475916	0.837689	6	0.010466	11.16059	4	0.013248	12.1079	1	0.011278	4.051232	5	0.012274	0.698518	1	0.020341	4.71287	3	0.066751	7.481828	4	0.013551	4.400615	5	36.543865
188	3	2.749798	7.760296	33.390318	60.067431	67.650373	0.641721	0.603102	0.642079	0.151729	0.486685	4.539094	5	0.025668	0.673864	6	7.401122	0.489315	6	0.029418	1.708508	5	1.69197	1.041944	2	0.166069	15.465828	4	0.014007	10.239247	2	0.011777	33.211283	3	0.101326	0.130997	6	0.047882	0.219142	5	0.014164	2.814501	5	0.036742	9.047806	3	11.590641
191	3	97.69329	84.343035	42.288156	1.769904	50.42045	0.151493	0.611625	0.619417	0.486735	0.582861	8.902103	2	0.028762	1.029412	3	95.11324	2.585774	2	0.010948	10.500628	2	11.794931	0.937889	4	0.017359	13.435953	5	0.208176	8.246909	2	0.012085	1.168705	3	0.015941	0.193565	5	0.049478	15.137013	6	0.016129	12.720308	4	0.066167	10.705401	6	91.691956
193	3	66.559476	55.962742	99.361694	66.683366	96.927617	0.683985	0.452301	0.139651	0.693829	0.789801	4.368251	4	0.010315	1.367543	1	75.830218	3.184489	6	0.856901	2.758542	2	24.550061	1.466298	6	0.010259	6.478112	3	0.012308	13.394139	5	0.191191	26.12885	4	0.01158	1.575633	2	0.014448	16.961934	4	0.016484	9.456981	2	0.012566	11.32353	5	37.750037
201	3	19.933294	67.189797	88.401917	64.280932	61.477629	0.282059	0.873212	0.552283	0.926796	0.316577	3.699365	5	0.017669	1.164726	1	21.224537	2.227849	4	0.022648	7.503531	2	31.838483	0.461105	5	0.019427	16.17721	1	0.041637	12.370801	3	0.201971	12.352117	6	0.02607	1.567457	3	0.011711	5.663201	6	0.061118	5.611875	3	0.026494	14.243288	6	82.271973
204	3	83.487484	79.737474	37.921184	74.548191	81.739824	0.869267	0.868384	0.470201	0.939323	0.751796	7.9216	2	0.036308	0.046513	6	17.874255	0.783284	3	0.01147	10.626016	5	7.291128	0.382433	3	0.032491	11.772012	6	0.012997	7.995034	1	0.010001	39.558424	2	0.100005	1.454703	4	0.014057	2.589395	3	0.017059	4.669887	1	0.017853	7.895447	6	26.179398
206	3	19.222488	66.944243	20.406948	95.300308	72.540156	0.846596	0.466288	0.382343	0.855387	0.25341	6.343027	4	0.030907	0.790694	3	34.963547	2.142977	5	0.010191	4.54144	1	42.974588	1.113759	1	0.3977	1.333941	4	0.012304	7.874075	1	0.010567	54.143962	1	0.0114	1.279512	2	0.03004	16.084284	6	0.047181	11.399972	6	0.020084	6.859683	2	57.537383
212	3	2.135388	4.190319	36.22551	13.964577	11.331675	0.100616	0.58868	0.493595	0.240687	0.657654	7.480375	1	0.075169	0.245759	6	75.197397	3.1494	2	0.030931	2.4404690000000002	6	13.26588	0.915011	6	0.010495	17.74146	3	0.010293	5.459876	3	0.013861	34.096709	4	0.060391	0.022319	2	0.016939	9.817503	1	0.011106	0.150142	6	0.01248	4.944162	3	79.375826
214	3	53.369255	84.880542	48.147718	55.046623	25.722456	0.468256	0.2886	0.932417	0.181363	0.822795	6.36138	2	0.010515	1.128002	3	44.120333	0.795656	2	0.014088	10.793284	2	79.673837	0.26739	4	0.010474	2.372783	5	0.010673	9.258651	6	0.010127	9.926788	1	0.03114	0.290467	6	0.041214	15.198793	2	0.01949	11.480116	5	0.057375	12.047489	2	52.243963
219	3	84.150671	35.277157	91.46137	43.407835	86.57343	0.568685	0.343732	0.367711	0.767695	0.483571	2.233709	1	0.012762	1.371544	3	21.370402	2.709853	5	0.010927	1.731235	3	58.882918	0.706718	5	0.039106	17.286464	1	0.013686	13.096806	1	0.011479	54.495609	3	0.053723	1.491248	4	0.012806	7.744863	6	0.011938	4.165935	2	0.01262	0.874444	6	16.8388
221	3	80.8757	40.954949	78.754327	62.867817	70.016126	0.725368	0.642446	0.157484	0.587038	0.886151	9.759392	4	0.033169	1.512458	1	78.903037	0.49653	2	0.021076	10.765997	1	88.52675	1.100535	6	0.037697	3.834755	3	0.178008	8.803113	3	0.028401	10.729005	4	0.035489	0.66624	2	0.016595	8.53878	5	0.064638	2.750442	4	0.018541	13.184918	4	55.286758
240	3	60.676409	37.711292	9.018346	90.803636	26.02333	0.33444	0.353029	0.419023	0.518878	0.115913	11.88438	4	0.040482	0.576496	6	40.204395	0.968136	4	0.264817	0.64821	3	1.924445	1.000471	6	0.027451	14.787896	6	0.018695	9.46172	1	0.015795	25.169149	4	0.011686	0.593667	3	0.443746	14.920597	2	0.017817	1.169449	4	0.033983	12.071861	1	94.409755
246	3	98.162371	5.93037	9.408337	2.668691	86.839508	0.145007	0.575908	0.456373	0.459074	0.619839	2.35022	1	0.013048	1.576257	2	79.544657	1.307808	3	0.011977	1.368499	3	39.271338	1.143182	1	0.027169	11.735704	6	0.055407	12.847909	2	0.011691	10.177245	3	0.039118	1.379784	2	0.010536	1.254693	3	0.014748	3.7164	2	0.011243	9.284701	6	81.191931
253	3	61.272392	12.379916	19.071994	13.071667	16.082325	0.4016	0.885196	0.885632	0.610068	0.153549	11.514923	1	0.081356	1.525845	3	68.57833	1.89615	6	0.010261	16.609648	5	19.985853	0.304624	6	0.013982	17.392708	5	0.012198	5.871278	5	0.01598	31.670747	5	0.029445	0.342572	1	0.078861	9.9115	3	0.558332	4.248697	6	0.123193	1.5868390000000001	4	14.343974
261	3	79.401648	33.270147	27.025989	12.112702	66.012957	0.492449	0.821661	0.278068	0.364965	0.259594	1.825459	5	0.018794	0.925188	6	87.576759	2.847773	2	0.01051	15.551869	3	82.103976	0.264901	6	0.015475	16.673428	4	0.012783	9.401552	6	0.011901	0.875422	3	0.014149	0.197779	3	0.019566	3.057972	3	0.027053	2.967239	3	0.08403	14.904307	6	52.115567
269	3	7.431542	63.919587	36.877467	94.115787	68.596778	0.804358	0.914218	0.821776	0.804381	0.180813	13.172236	2	0.084596	1.539686	5	31.413191	2.367145	2	0.068858	6.890173	2	25.084961	0.825297	2	0.014358	8.524549	6	0.013455	8.059204	2	0.021111	53.941211	2	0.080328	1.0155	6	0.112198	7.273923	3	0.029161	11.778299	5	0.01933	11.835596	4	11.033732
270	3	63.214147	10.035303	52.375915	31.969378	76.374478	0.220548	0.596788	0.20922	0.258712	0.896365	7.531956	6	0.074194	0.377733	2	67.238975	0.62537	1	0.010559	4.292869	6	55.390624	1.055099	6	0.044885	14.800905	3	0.029665	6.909607	1	0.013504	11.849599	2	0.021438	1.037549	1	0.014426	0.735705	5	0.036263	11.973001	3	0.022698	8.244604	6	39.110455
281	3	29.563947	16.545322	3.048739	29.813951	33.168994	0.241949	0.908012	0.72468	0.520012	0.872356	8.57887	1	0.036721	0.096538	3	29.933994	2.92644	1	0.118594	2.198156	5	19.483665	0.392239	6	0.021267	2.591063	5	0.015073	3.068352	1	0.020221	40.961792	4	0.020551	0.800277	1	0.044985	4.957662	4	0.092565	0.579371	4	0.01038	9.723136	5	43.280112
284	3	43.794352	24.110909	14.199156	68.390644	58.564592	0.846703	0.997849	0.398167	0.156332	0.182221	8.273162	5	0.012549	0.718413	5	47.246874	0.232581	2	0.010498	7.526848	3	71.51025	0.419993	3	0.021361	2.55324	6	0.014634	2.278868	3	0.01082	38.914097	5	0.019484	1.4612	4	0.057767	10.559511	6	0.011916	9.26528	2	0.01886	7.849212	6	97.814895
292	3	63.3019	11.942291	54.362391	36.867305	4.415679	0.434458	0.734818	0.637566	0.694084	0.313384	10.622292	6	0.251644	0.537553	4	82.261693	3.792839	6	0.071399	11.111601	4	81.622831	0.902053	3	0.128621	11.135563	4	0.01039	6.331423	6	0.024917	17.359701	6	0.074188	0.24629	5	0.110237	16.644865	5	0.059426	13.329725	5	0.010542	3.811388	5	74.464505
296	3	22.559288	3.769753	80.944639	4.491312	78.737419	0.744727	0.681242	0.675613	0.639715	0.58637	12.816441	1	0.044644	1.197375	6	33.233066	1.128714	4	0.013076	6.573697	2	42.383502	0.209239	6	0.018954	17.319821	6	0.019123	8.091529	6	0.2267	40.189076	6	0.016312	0.018605	5	0.010391	1.726551	3	0.020493	6.088857	1	0.018009	11.754319	4	70.830404
297	3	54.737358	1.356298	20.927349	57.603232	26.130092	0.85468	0.761999	0.132106	0.104478	0.350488	12.089991	6	0.103861	0.550283	6	43.899419	0.683426	2	0.011711	10.659368	3	17.315597	0.439355	2	0.010013	10.92089	3	0.120686	3.381708	2	0.012166	20.563844	3	0.014529	1.551711	2	0.065655	18.094872	1	0.015017	0.320688	3	0.010213	4.376759	6	32.800408
298	3	43.017769	88.391115	35.642008	4.083886	38.500229	0.508687	0.991905	0.652074	0.448696	0.387866	3.283392	6	0.021041	1.157573	3	67.103607	3.170493	2	0.038064	8.237018	1	47.663037	1.151469	6	0.012023	2.551618	2	0.035099	1.288068	1	0.591376	40.896322	3	0.049266	0.426218	4	0.01877	16.833068	4	0.012977	9.855118	1	0.02873	10.213973	5	40.134737
303	3	31.992722	50.695951	40.734999	99.954098	77.440592	0.647491	0.948323	0.617557	0.411653	0.996741	11.783998	4	0.047262	0.368892	6	27.251298	2.302927	5	0.011873	15.296128	5	62.224204	0.832912	6	0.092966	16.234096	6	0.010741	0.389333	6	0.125021	40.733106	4	0.010204	1.394643	2	0.012663	16.729389	6	0.037494	4.825769	4	0.010642	2.782074	2	70.322776
305	3	64.421756	22.482641	20.124233	44.258538	40.035793	0.510423	0.454532	0.706094	0.648147	0.311194	7.958802	5	0.01097	1.594807	3	17.327595	2.349188	1	0.012078	6.074707	2	1.262655	0.624662	6	0.063915	0.212817	1	0.015481	7.888943	1	0.026077	5.426941	3	0.030151	0.655178	2	0.01203	5.391692	3	0.052211	11.97086	3	0.034609	15.73448	4	86.314824
310	3	55.07038	90.931928	20.566724	43.983284	73.318386	0.552762	0.527894	0.352503	0.836619	0.480034	3.295561	5	0.011195	0.56202	4	4.403918	2.203371	4	0.033592	16.205167	3	56.417516	1.426803	5	0.125393	16.132101	2	0.017612	10.492491	1	0.013761	3.365346	6	0.070848	0.465119	2	0.024526	8.079274	2	0.015294	2.015389	3	0.034151	2.418059	5	53.527301
317	3	71.545152	99.304614	17.731741	80.44311	77.042897	0.950916	0.694238	0.955851	0.90932	0.459428	4.224751	4	0.010675	0.162643	5	13.136512	0.221498	5	0.012375	4.995793	1	70.161704	0.877938	6	0.021358	2.198017	1	0.014263	7.704444	4	0.031384	15.656829	6	0.017466	0.96526	3	0.037496	4.905848	5	0.033998	8.364955	3	0.011828	10.426716	6	87.090914
319	3	99.165661	48.075958	93.910192	68.418907	78.276342	0.685305	0.387598	0.758169	0.548324	0.731522	0.485471	4	0.020443	1.525706	6	25.946109	0.351972	6	0.017323	13.944833	6	95.779525	0.802681	4	0.011921	3.987094	1	0.012724	5.436189	4	0.010148	46.497375	4	0.024802	0.202604	2	0.054815	7.522959	4	0.028343	9.918587	5	0.014717	11.534695	2	2.582795
320	3	3.239459	71.65666	24.734074	36.464571	57.813179	0.995391	0.761234	0.479908	0.858482	0.673931	6.41776	2	0.012752	0.63025	6	12.121318	3.297465	3	0.021504	8.619943	3	2.599798	1.48708	4	0.081986	3.510384	6	0.020199	8.767868	6	0.020278	11.876316	1	0.030881	0.769029	6	0.032886	4.700636	3	0.022455	6.14541	2	0.011389	10.778764	5	14.572866
331	3	36.955369	85.230392	67.121742	87.313393	45.009461	0.59602	0.768208	0.70785	0.990563	0.624011	2.129081	4	0.011162	1.518235	5	44.397402	0.148962	4	0.035515	10.568694	1	4.310982	1.546181	5	0.014207	17.996569	4	0.211468	3.333595	4	0.02157	53.341785	3	0.010656	0.182981	6	0.080526	10.47058	1	0.057308	12.217353	1	0.013226	3.771295	4	97.25303
337	3	90.290818	39.41754	22.062876	13.098121	98.35871	0.127871	0.512528	0.519376	0.352947	0.360046	12.255883	1	0.261765	0.223332	4	82.22376	1.314727	6	0.052925	4.450259	4	54.583352	0.904996	1	0.010618	6.606445	3	0.054671	7.699001	3	0.047294	35.463714	5	0.018051	0.445226	2	0.019121	8.977839	2	0.010379	6.836122	3	0.05504	18.235444	4	95.218254
343	3	9.14421	4.418267	73.055968	98.466026	50.836735	0.144237	0.735892	0.461177	0.272072	0.968699	2.88905	4	0.048625	1.157712	4	83.42393	3.238943	4	0.05597	13.263779	1	62.470913	0.287102	6	0.075767	12.194367	2	0.074164	3.820059	1	0.01106	43.474282	2	0.010596	1.342359	5	0.019321	8.41587	6	0.011479	9.215056	1	0.043457	10.480468	5	56.683874
